[0.,0.]
-------------------END OF EPISODE-------------------
[0.9144461 ,0.21302235]

-------------------END OF EPISODE-------------------
[-0.51004386, 0.32298905]

-------------------END OF EPISODE-------------------
[0.08132022,0.75226283]

-------------------END OF EPISODE-------------------
[-0.03949954, 0.3205016 ]

-------------------END OF EPISODE-------------------
[0.76860833,1.769052  ]

-------------------END OF EPISODE-------------------
[ 1.2030958,-0.5567127]

-------------------END OF EPISODE-------------------
[-1.0397835,-1.3785962]

-------------------END OF EPISODE-------------------
[-0.57072103, 0.4949336 ]

-------------------END OF EPISODE-------------------
[0.22917327,0.4880464 ]

-------------------END OF EPISODE-------------------
[-0.75307846,-1.536262  ]

-------------------END OF EPISODE-------------------
[ 0.7064403,-0.9298499]

-------------------END OF EPISODE-------------------
[-0.4174001,-0.6176047]

-------------------END OF EPISODE-------------------
[-0.6887598, 1.9098216]

-------------------END OF EPISODE-------------------
[1.9199206 ,0.42595127]

-------------------END OF EPISODE-------------------
[-0.06894908,-0.43775284]

-------------------END OF EPISODE-------------------
[-2.0444505,-0.6091097]

-------------------END OF EPISODE-------------------
[-0.406729 , 1.1019157]

-------------------END OF EPISODE-------------------
[1.2694106,1.0701159]

-------------------END OF EPISODE-------------------
[-0.67541397,-0.07942226]

-------------------END OF EPISODE-------------------
[ 0.6321403,-0.5483541]

-------------------END OF EPISODE-------------------
[0.42668194,1.8246869 ]

-------------------END OF EPISODE-------------------
[1.2775705 ,0.46081024]

-------------------END OF EPISODE-------------------
[-0.5810742, 1.2755772]

-------------------END OF EPISODE-------------------
[-0.05847199,-1.107201  ]

-------------------END OF EPISODE-------------------
[ 0.07560699,-1.2081139 ]

-------------------END OF EPISODE-------------------
[ 0.8000121,-1.2830939]

-------------------END OF EPISODE-------------------
[ 1.1551912 ,-0.05962327]

-------------------END OF EPISODE-------------------
[ 0.90783155,-0.11658103]

-------------------END OF EPISODE-------------------
[-1.0562205,-1.008894 ]

-------------------END OF EPISODE-------------------
[ 0.54634285,-0.59375596]

-------------------END OF EPISODE-------------------
[ 0.61708355,-1.6103692 ]

-------------------END OF EPISODE-------------------
[-0.0094166, 0.5694818]

-------------------END OF EPISODE-------------------
[ 0.719147  ,-0.33650553]

-------------------END OF EPISODE-------------------
